#name,ra,dec,z_lens,z_source,zl_phot,zs_phot,Rein,lens_mag_i,source_mag_i,type,discovery,grade,Reference
114317+004033,175.824300,0.676000,-99.000,-99.000,0.36,1.47,-99.,21.12,21.66,GG,V,B,SuGOHI5
114444+001344,176.187372,0.229142,-99.000,-99.000,0.92,-99.00,-99.,20.87,-99.00,GG,V,B,SuGOHI6
114445+005256,176.189822,0.882355,-99.000,-99.000,0.72,-99.00,-99.,21.34,-99.00,GG,V,B,SuGOHI6
114852+000945,177.217924,0.162728,-99.000,-99.000,0.58,-99.00,-99.,19.82,-99.00,GG,VCN,B,"SuGOHI6 SuGOHI10"
115011-002019,177.546919,-0.338828,-99.000,-99.000,0.65,-99.00,-99.,20.05,-99.00,GG,VYCN,B,"SuGOHI6 SuGOHI10"
115057-015316,177.739190,-1.887994,-99.000,-99.000,0.94,-99.00,-99.,21.09,-99.00,GG,V,B,SuGOHI6
115210-021409,178.043730,-2.236040,0.513,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
115223+010507,178.097400,1.085400,0.748,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
115255+002546,178.231670,0.429680,0.588,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
115340-012248,178.417110,-1.380110,0.646,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
115349+023128,178.455934,2.524715,0.714,-99.000,-99.00,-99.00,-99.,21.81,-99.00,GG,Y,B,SuGOHI8
115529-004255,178.872660,-0.715532,-99.000,-99.000,0.82,-99.00,-99.,21.11,-99.00,GG,VCN,B,"SuGOHI6 SuGOHI10"
115557-001238,178.988940,-0.210720,0.610,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
115558-014442,178.993970,-1.745170,0.530,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
115630-020027,179.128941,-2.007666,-99.000,-99.000,1.15,-99.00,-99.,21.71,-99.00,GG,V,B,SuGOHI6
115713-002422,179.307770,-0.406330,0.571,-99.000,0.58,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
115753+011430,179.471640,1.241700,0.618,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
115815-012717,179.566648,-1.454965,0.674,-99.000,-99.00,-99.00,-99.,19.64,23.35,GG,YVCN,B,"SuGOHI1 SuGOHI6 SuGOHI10"
115833-014417,179.637940,-1.738140,1.110,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
115851+042737,179.712613,4.460397,0.548,-99.000,-99.00,-99.00,-99.,21.19,-99.00,GG,Y,B,SuGOHI8
120037+005641,180.158090,0.944860,0.700,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
120053-013357,180.221984,-1.566051,-99.000,-99.000,0.92,-99.00,-99.,21.18,-99.00,GG,VY,B,SuGOHI6
120109+003330,180.291113,0.558340,-99.000,-99.000,1.11,-99.00,-99.,22.07,-99.00,GG,VY,B,SuGOHI6
120111+012635,180.297968,1.443062,-99.000,-99.000,0.59,-99.00,-99.,19.02,-99.00,GG,V,B,SuGOHI6
120129+001930,180.371609,0.325009,-99.000,-99.000,0.72,-99.00,-99.,20.28,-99.00,GG,VYCN,B,"SuGOHI6 SuGOHI10"
120139-001226,180.416100,-0.207300,-99.000,-99.000,0.25,0.43,-99.,17.65,19.96,GG,V,B,"SuGOHI5 LinKS"
120141+012736,180.424823,1.460266,-99.000,-99.000,0.75,-99.00,-99.,21.00,-99.00,GG,VCN,B,"SuGOHI6 SuGOHI10"
120358+004401,180.993390,0.733860,0.721,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
120601+005653,181.507986,0.948270,0.559,-99.000,-99.00,-99.00,-99.,18.93,22.76,GG,YVCN,B,"SuGOHI1 SuGOHI6 SuGOHI10"
120605-001554,181.521070,-0.265000,0.858,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
120617+004850,181.572830,0.813990,0.605,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
120630-011428,181.629124,-1.241309,-99.000,-99.000,0.69,-99.00,-99.,20.58,-99.00,GG,VCN,B,"SuGOHI6 SuGOHI10"
120657-010241,181.740330,-1.044760,0.785,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
120806-012233,182.027501,-1.375885,-99.000,-99.000,0.36,-99.00,-99.,18.70,-99.00,GG,VY,B,SuGOHI6
120949+020908,182.454171,2.152465,0.709,-99.000,-99.00,-99.00,-99.,21.37,-99.00,GG,Y,B,SuGOHI8
121127-012350,182.863770,-1.397320,0.679,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
121309-000918,183.290560,-0.155100,0.735,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
122018+011253,185.078970,1.214970,0.608,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,B,SuGOHI10
